dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1753-01-01,-0.05300000000000038,7.849,Paris,France,49.03N,2.45E
1753-02-01,3.761,3.439,Paris,France,49.03N,2.45E
1753-03-01,7.963999999999999,3.722,Paris,France,49.03N,2.45E
1753-04-01,9.307,7.612,Paris,France,49.03N,2.45E
1753-05-01,13.652,1.977,Paris,France,49.03N,2.45E
1753-06-01,18.513,3.35,Paris,France,49.03N,2.45E
1753-07-01,19.153,2.21,Paris,France,49.03N,2.45E
1753-08-01,17.0,7.537000000000001,Paris,France,49.03N,2.45E
1753-09-01,15.413,1.443,Paris,France,49.03N,2.45E
1753-10-01,10.968,1.462,Paris,France,49.03N,2.45E
1753-11-01,5.101,3.074,Paris,France,49.03N,2.45E
1753-12-01,4.045,5.016,Paris,France,49.03N,2.45E
1803-01-01,0.19199999999999973,4.273,Paris,France,49.03N,2.45E
1803-02-01,0.7769999999999997,3.668,Paris,France,49.03N,2.45E
1803-03-01,5.994999999999999,3.094,Paris,France,49.03N,2.45E
1803-04-01,11.152999999999999,2.721,Paris,France,49.03N,2.45E
1803-05-01,11.811,2.07,Paris,France,49.03N,2.45E
1803-06-01,16.180999999999997,1.6969999999999998,Paris,France,49.03N,2.45E
1803-07-01,19.97,1.843,Paris,France,49.03N,2.45E
1803-08-01,19.130000000000006,2.694,Paris,France,49.03N,2.45E
1803-09-01,13.213,1.332,Paris,France,49.03N,2.45E
1803-10-01,9.584,3.252,Paris,France,49.03N,2.45E
1803-11-01,6.292000000000001,2.855,Paris,France,49.03N,2.45E
1803-12-01,4.526,4.033,Paris,France,49.03N,2.45E
1853-01-01,5.47,1.1,Paris,France,49.03N,2.45E
1853-02-01,0.6379999999999999,1.161,Paris,France,49.03N,2.45E
1853-03-01,2.905,1.6840000000000002,Paris,France,49.03N,2.45E
1853-04-01,8.497,1.015,Paris,France,49.03N,2.45E
1853-05-01,12.748,0.6559999999999999,Paris,France,49.03N,2.45E
1853-06-01,16.142,0.863,Paris,France,49.03N,2.45E
1853-07-01,18.236,0.816,Paris,France,49.03N,2.45E
1853-08-01,17.891000000000005,0.917,Paris,France,49.03N,2.45E
1853-09-01,14.431,0.942,Paris,France,49.03N,2.45E
1853-10-01,11.118,0.972,Paris,France,49.03N,2.45E
1853-11-01,5.0299999999999985,2.025,Paris,France,49.03N,2.45E
1853-12-01,-1.2879999999999994,1.3430000000000002,Paris,France,49.03N,2.45E
1903-01-01,3.472,0.805,Paris,France,49.03N,2.45E
1903-02-01,6.115,0.643,Paris,France,49.03N,2.45E
1903-03-01,8.062999999999999,0.466,Paris,France,49.03N,2.45E
1903-04-01,6.807,0.47,Paris,France,49.03N,2.45E
1903-05-01,13.364,0.37,Paris,France,49.03N,2.45E
1903-06-01,15.055,0.401,Paris,France,49.03N,2.45E
1903-07-01,17.654,0.455,Paris,France,49.03N,2.45E
1903-08-01,16.980999999999998,0.374,Paris,France,49.03N,2.45E
1903-09-01,15.477,0.438,Paris,France,49.03N,2.45E
1903-10-01,11.832,0.392,Paris,France,49.03N,2.45E
1903-11-01,6.672000000000001,0.619,Paris,France,49.03N,2.45E
1903-12-01,1.7990000000000002,0.838,Paris,France,49.03N,2.45E
1953-01-01,0.5449999999999999,0.3,Paris,France,49.03N,2.45E
1953-02-01,3.072,0.22,Paris,France,49.03N,2.45E
1953-03-01,7.763,0.45,Paris,France,49.03N,2.45E
1953-04-01,10.29,0.177,Paris,France,49.03N,2.45E
1953-05-01,15.037,0.196,Paris,France,49.03N,2.45E
1953-06-01,16.032,0.4970000000000001,Paris,France,49.03N,2.45E
1953-07-01,18.011,0.278,Paris,France,49.03N,2.45E
1953-08-01,18.73,0.289,Paris,France,49.03N,2.45E
1953-09-01,15.874,0.16,Paris,France,49.03N,2.45E
1953-10-01,11.849,0.139,Paris,France,49.03N,2.45E
1953-11-01,6.193,0.28,Paris,France,49.03N,2.45E
1953-12-01,6.651999999999999,0.214,Paris,France,49.03N,2.45E
2003-01-01,2.597,0.203,Paris,France,49.03N,2.45E
2003-02-01,3.28,0.266,Paris,France,49.03N,2.45E
2003-03-01,9.636000000000001,0.334,Paris,France,49.03N,2.45E
2003-04-01,11.087,0.229,Paris,France,49.03N,2.45E
2003-05-01,14.475999999999999,0.32,Paris,France,49.03N,2.45E
2003-06-01,20.233,0.391,Paris,France,49.03N,2.45E
2003-07-01,20.507,0.348,Paris,France,49.03N,2.45E
2003-08-01,22.892,0.5479999999999999,Paris,France,49.03N,2.45E
2003-09-01,16.124000000000002,0.339,Paris,France,49.03N,2.45E
2003-10-01,9.101,0.277,Paris,France,49.03N,2.45E
2003-11-01,8.357999999999999,0.234,Paris,France,49.03N,2.45E
2003-12-01,4.623,0.188,Paris,France,49.03N,2.45E
2012-01-01,5.867000000000001,0.257,Paris,France,49.03N,2.45E
2012-02-01,1.4219999999999997,0.268,Paris,France,49.03N,2.45E
2012-03-01,9.721,0.339,Paris,France,49.03N,2.45E
2012-04-01,8.781,0.184,Paris,France,49.03N,2.45E
2012-05-01,14.86,0.237,Paris,France,49.03N,2.45E
2012-06-01,15.717,0.421,Paris,France,49.03N,2.45E
2012-07-01,18.193,0.275,Paris,France,49.03N,2.45E
2012-08-01,20.102999999999998,0.522,Paris,France,49.03N,2.45E
2012-09-01,15.349,0.354,Paris,France,49.03N,2.45E
2012-10-01,11.613,0.311,Paris,France,49.03N,2.45E
2012-11-01,7.42,0.24,Paris,France,49.03N,2.45E
2012-12-01,5.593,0.461,Paris,France,49.03N,2.45E
2013-01-01,3.0439999999999996,0.746,Paris,France,49.03N,2.45E
2013-02-01,2.456,0.282,Paris,France,49.03N,2.45E
