dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
Jan 1850,25.803,1.943,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jan 1860,26.531999999999996,1.372,Abidjan,Côte D'Ivoire,5.63N,3.23W
Feb 1860,27.19,1.295,Abidjan,Côte D'Ivoire,5.63N,3.23W
Mar 1860,26.825,1.278,Abidjan,Côte D'Ivoire,5.63N,3.23W
Apr 1860,27.19,,Abidjan,Côte D'Ivoire,5.63N,3.23W
May 1860,26.11,1.158,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jun 1860,25.404,1.196,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jul 1860,24.275,1.217,Abidjan,Côte D'Ivoire,5.63N,3.23W
Aug 1860,23.96,1.2819999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
Sep 1860,24.52,1.175,Abidjan,Côte D'Ivoire,5.63N,3.23W
Oct 1860,25.158,1.123,Abidjan,Côte D'Ivoire,5.63N,3.23W
Nov 1860,25.324,1.146,Abidjan,Côte D'Ivoire,5.63N,3.23W
Dec 1860,24.81,1.329,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jan 1900,25.695999999999998,1.3259999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
Feb 1900,27.816,0.789,Abidjan,Côte D'Ivoire,5.63N,3.23W
Mar 1900,28.395,1.296,Abidjan,Côte D'Ivoire,5.63N,3.23W
Apr 1900,27.706,0.501,Abidjan,Côte D'Ivoire,5.63N,3.23W
May 1900,26.753,0.458,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jun 1900,25.18,0.733,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jul 1900,24.191999999999997,0.828,Abidjan,Côte D'Ivoire,5.63N,3.23W
Aug 1900,23.473000000000003,1.209,Abidjan,Côte D'Ivoire,5.63N,3.23W
Sep 1900,25.127,0.6579999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W
Oct 1900,25.962,0.564,Abidjan,Côte D'Ivoire,5.63N,3.23W
Nov 1900,26.663,1.147,Abidjan,Côte D'Ivoire,5.63N,3.23W
Dec 1900,26.459,0.918,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jan 1905,26.603,1.168,Abidjan,Côte D'Ivoire,5.63N,3.23W
Feb 1905,27.111,0.993,Abidjan,Côte D'Ivoire,5.63N,3.23W
Mar 1905,28.057,0.79,Abidjan,Côte D'Ivoire,5.63N,3.23W
Apr 1905,27.514,1.267,Abidjan,Côte D'Ivoire,5.63N,3.23W
May 1905,25.894000000000002,0.737,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jun 1905,24.452,0.447,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jul 1905,23.755000000000006,0.723,Abidjan,Côte D'Ivoire,5.63N,3.23W
Aug 1905,23.369,0.573,Abidjan,Côte D'Ivoire,5.63N,3.23W
Sep 1905,24.36,1.008,Abidjan,Côte D'Ivoire,5.63N,3.23W
Oct 1905,25.283,1.882,Abidjan,Côte D'Ivoire,5.63N,3.23W
Nov 1905,25.976,1.486,Abidjan,Côte D'Ivoire,5.63N,3.23W
Dec 1905,27.023000000000003,0.662,Abidjan,Côte D'Ivoire,5.63N,3.23W
Jan 1955,26.799000000000003,0.252,Abidjan,Côte D'Ivoire,5.63N,3.23W
Feb 1955,27.859,0.388,Abidjan,Côte D'Ivoire,5.63N,3.23W
Mar 1955,27.398000000000003,0.255,Abidjan,Côte D'Ivoire,5.63N,3.23W
