Year,Celsius,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2000-01-01,1.3240000000000005,0.31,Berlin,Germany,52.24N,13.14E
2000-02-01,4.718,0.16699999999999998,Berlin,Germany,52.24N,13.14E
2000-03-01,5.806,0.171,Berlin,Germany,52.24N,13.14E
2000-04-01,11.805,0.208,Berlin,Germany,52.24N,13.14E
2000-05-01,16.375999999999998,0.229,Berlin,Germany,52.24N,13.14E
2000-06-01,18.432000000000002,0.361,Berlin,Germany,52.24N,13.14E
2000-07-01,16.932000000000002,0.287,Berlin,Germany,52.24N,13.14E
2000-08-01,18.93,0.308,Berlin,Germany,52.24N,13.14E
2000-09-01,14.655999999999999,0.114,Berlin,Germany,52.24N,13.14E
2000-10-01,12.284,0.228,Berlin,Germany,52.24N,13.14E
2000-11-01,7.099,0.239,Berlin,Germany,52.24N,13.14E
2000-12-01,3.202,0.265,Berlin,Germany,52.24N,13.14E
2001-01-01,1.1180000000000003,0.202,Berlin,Germany,52.24N,13.14E
2001-02-01,2.268,0.197,Berlin,Germany,52.24N,13.14E
2001-03-01,3.8160000000000003,0.104,Berlin,Germany,52.24N,13.14E
2001-04-01,8.407,0.13,Berlin,Germany,52.24N,13.14E
2001-05-01,15.065999999999999,0.152,Berlin,Germany,52.24N,13.14E
2001-06-01,15.32,0.204,Berlin,Germany,52.24N,13.14E
2001-07-01,19.938,0.271,Berlin,Germany,52.24N,13.14E
2001-08-01,19.905,0.228,Berlin,Germany,52.24N,13.14E
2001-09-01,13.175,0.121,Berlin,Germany,52.24N,13.14E
2001-10-01,13.169,0.231,Berlin,Germany,52.24N,13.14E
2001-11-01,4.25,0.353,Berlin,Germany,52.24N,13.14E
2001-12-01,-0.14900000000000002,0.267,Berlin,Germany,52.24N,13.14E
2002-01-01,1.994,0.234,Berlin,Germany,52.24N,13.14E
2002-02-01,5.6949999999999985,0.206,Berlin,Germany,52.24N,13.14E
2002-03-01,5.934,0.14400000000000002,Berlin,Germany,52.24N,13.14E
2002-04-01,8.693999999999999,0.173,Berlin,Germany,52.24N,13.14E
2002-05-01,15.902999999999999,0.209,Berlin,Germany,52.24N,13.14E
2002-06-01,17.959,0.245,Berlin,Germany,52.24N,13.14E
2002-07-01,19.480999999999998,0.339,Berlin,Germany,52.24N,13.14E
2002-08-01,21.173,0.092,Berlin,Germany,52.24N,13.14E
2002-09-01,14.829,0.166,Berlin,Germany,52.24N,13.14E
2002-10-01,8.456,0.295,Berlin,Germany,52.24N,13.14E
2002-11-01,4.734,0.341,Berlin,Germany,52.24N,13.14E
2002-12-01,-1.6789999999999998,0.16699999999999998,Berlin,Germany,52.24N,13.14E
2003-01-01,-0.127,0.181,Berlin,Germany,52.24N,13.14E
2003-02-01,-1.38,0.221,Berlin,Germany,52.24N,13.14E
2003-03-01,5.127999999999999,0.226,Berlin,Germany,52.24N,13.14E
2003-04-01,8.896,0.174,Berlin,Germany,52.24N,13.14E
2003-05-01,15.675,0.336,Berlin,Germany,52.24N,13.14E
2003-06-01,19.796,0.404,Berlin,Germany,52.24N,13.14E
2003-07-01,20.54,0.287,Berlin,Germany,52.24N,13.14E
2003-08-01,20.956999999999997,0.353,Berlin,Germany,52.24N,13.14E
2003-09-01,15.474,0.18,Berlin,Germany,52.24N,13.14E
2003-10-01,6.485000000000001,0.217,Berlin,Germany,52.24N,13.14E
2003-11-01,6.7200000000000015,0.261,Berlin,Germany,52.24N,13.14E
2003-12-01,2.625,0.195,Berlin,Germany,52.24N,13.14E
2004-01-01,-0.991,0.294,Berlin,Germany,52.24N,13.14E
2004-02-01,3.139,0.149,Berlin,Germany,52.24N,13.14E
2004-03-01,5.404,0.22,Berlin,Germany,52.24N,13.14E
2004-04-01,10.218,0.17,Berlin,Germany,52.24N,13.14E
2004-05-01,12.955,0.231,Berlin,Germany,52.24N,13.14E
2004-06-01,16.256,0.388,Berlin,Germany,52.24N,13.14E
2004-07-01,18.075,0.24,Berlin,Germany,52.24N,13.14E
2004-08-01,20.059,0.235,Berlin,Germany,52.24N,13.14E
2004-09-01,14.995,0.174,Berlin,Germany,52.24N,13.14E
2004-10-01,10.607,0.279,Berlin,Germany,52.24N,13.14E
2004-11-01,4.908,0.122,Berlin,Germany,52.24N,13.14E
2004-12-01,2.246,0.252,Berlin,Germany,52.24N,13.14E
2005-01-01,3.103,0.247,Berlin,Germany,52.24N,13.14E
2005-02-01,-0.23600000000000002,0.324,Berlin,Germany,52.24N,13.14E
2005-03-01,3.8080000000000003,0.206,Berlin,Germany,52.24N,13.14E
2005-04-01,10.174,0.184,Berlin,Germany,52.24N,13.14E
2005-05-01,14.129,0.235,Berlin,Germany,52.24N,13.14E
2005-06-01,16.930999999999997,0.139,Berlin,Germany,52.24N,13.14E
2005-07-01,19.569000000000003,0.188,Berlin,Germany,52.24N,13.14E
2005-08-01,17.204,0.136,Berlin,Germany,52.24N,13.14E
2005-09-01,16.233,0.209,Berlin,Germany,52.24N,13.14E
2005-10-01,11.815999999999999,0.29600000000000004,Berlin,Germany,52.24N,13.14E
2005-11-01,4.913,0.16899999999999998,Berlin,Germany,52.24N,13.14E
2005-12-01,1.385,0.194,Berlin,Germany,52.24N,13.14E
2006-01-01,-3.395,0.384,Berlin,Germany,52.24N,13.14E
2006-02-01,0.08899999999999998,0.267,Berlin,Germany,52.24N,13.14E
2006-03-01,1.8869999999999998,0.269,Berlin,Germany,52.24N,13.14E
2006-04-01,9.234,0.158,Berlin,Germany,52.24N,13.14E
2006-05-01,14.307,0.237,Berlin,Germany,52.24N,13.14E
2006-06-01,18.28,0.269,Berlin,Germany,52.24N,13.14E
2006-07-01,23.795,0.316,Berlin,Germany,52.24N,13.14E
2006-08-01,17.714000000000006,0.199,Berlin,Germany,52.24N,13.14E
2006-09-01,18.367,0.225,Berlin,Germany,52.24N,13.14E
2006-10-01,12.725999999999999,0.179,Berlin,Germany,52.24N,13.14E
2006-11-01,7.899,0.141,Berlin,Germany,52.24N,13.14E
2006-12-01,5.641,0.193,Berlin,Germany,52.24N,13.14E
2007-01-01,5.494,0.28,Berlin,Germany,52.24N,13.14E
2007-02-01,4.027,0.129,Berlin,Germany,52.24N,13.14E
2007-03-01,7.702000000000001,0.183,Berlin,Germany,52.24N,13.14E
2007-04-01,11.725999999999999,0.199,Berlin,Germany,52.24N,13.14E
